category,word,search_term_arasaac
사람,나,나
사람,너,너
사람,우리,우리
사람,엄마,엄마
사람,아빠,아빠
사람,형,형
사람,누나,누나
사람,오빠,오빠
사람,언니,언니
사람,동생,동생
사람,할머니,할머니
사람,할아버지,할아버지
사람,선생님,선생님
사람,친구,친구
사람,아기,아기
사람,의사,의사
사람,간호사,간호사
사람,운전기사,운전기사
사람,경찰관,경찰관
사람,소방관,소방관
감정,슬퍼요,슬픔
감정,화나요,화
감정,무서워요,무서움
감정,놀랐어요,놀람
감정,지루해요,지루함
감정,피곤해요,피곤
감정,긴장돼요,긴장
감정,불안해요,불안
감정,행복해요,행복
감정,미안해요,미안
감정,고마워요,감사
음식,과자,과자
음식,빵,빵
음식,우유,우유
음식,물,물
음식,주스,주스
음식,사과,사과
음식,바나나,바나나
음식,치킨,닭고기
음식,피자,피자
음식,햄버거,햄버거
음식,계란,계란
음식,아이스크림,아이스크림
음식,수박,수박
음식,초콜릿,초콜릿
장소,집,집
장소,학교,학교
장소,화장실,화장실
장소,병원,병원
장소,마트,슈퍼마켓
장소,놀이터,놀이터
장소,식당,식당
장소,교실,교실
장소,운동장,운동장
장소,도서관,도서관
장소,방,방
장소,거실,거실
장소,주방,주방
장소,공원,공원
장소,수영장,수영장
장소,동물원,동물원
장소,영화관,영화관
장소,교회,교회
장소,버스정류장,버스 정류장
행동,가요,가다
행동,와요,오다
행동,먹어요,먹다
행동,마셔요,마시다
행동,자요,자다
행동,씻어요,씻다
행동,놀아요,놀다
행동,일어나요,일어나다
행동,앉아요,앉다
행동,일해요,일하다
행동,말해요,말하다
행동,읽어요,읽다
행동,써요,쓰다
행동,웃어요,웃다
행동,울어요,울다
행동,줘요,주다
행동,받아요,받다
행동,봐요,보다
행동,만져요,만지다
행동,기다려요,기다리다
물건,책,책
물건,연필,연필
물건,지우개,지우개
물건,가방,가방
물건,옷,옷
물건,신발,신발
물건,장난감,장난감
물건,공,공
물건,휴대폰,휴대폰
물건,컴퓨터,컴퓨터
물건,텔레비전,텔레비전
물건,컵,컵
물건,숟가락,숟가락
물건,포크,포크
물건,수건,수건
물건,이불,이불
물건,베개,베개
물건,우산,우산
물건,시계,시계
물건,칫솔,칫솔
질문,도와주세요,도움
질문,주세요,주세요
질문,더 주세요,더
질문,싫어요,싫어
질문,좋아요,좋아
질문,이거 해요,이것을 하다
질문,그만해요,그만
질문,같이 해요,함께
질문,기다려 주세요,기다리다
질문,할래요,하다
질문,안 할래요,안 하다
시간,오늘,오늘
시간,내일,내일
시간,어제,어제
시간,지금,지금
시간,나중에,나중에
시간,아침,아침
시간,점심,점심
시간,저녁,저녁
시간,밤,밤
시간,새벽,새벽
시간,월요일,월요일
시간,화요일,화요일
시간,수요일,수요일
시간,목요일,목요일
시간,금요일,금요일
시간,토요일,토요일
시간,일요일,일요일
시간,주말,주말
시간,시간이에요,시간
